,arrival_icao,flight_number,status,departure_airport,scheduled_time,terminal,aircraft_model,airline,departure_icao,departure_iata
0,EDDB,EW 50,Unknown,Keln,2022-06-16 15:40:00+02:00,1,Airbus A319,Eurowings,,
1,EDDB,EW 8055,Unknown,Keln,2022-06-16 20:30:00+02:00,1,Airbus A319,Eurowings,,
2,EDDB,FI 528,Unknown,Reykjavik,2022-06-16 13:10:00+02:00,1,Boeing 757-300,Icelandair,BIKF,KEF
3,EDDB,FI 526,Unknown,Reykjavik,2022-06-16 16:30:00+02:00,1,Boeing 737,Icelandair,BIKF,KEF
4,EDDB,U2 4580,Unknown,Prishtina,2022-06-16 12:50:00+02:00,1,Airbus A320,easyJet,BKPR,PRN
5,EDDB,SN 2581,Unknown,Brussels,2022-06-16 10:50:00+02:00,1,Airbus A319,Brussels,EBBR,BRU
6,EDDB,SN 2587,Unknown,Brussels,2022-06-16 17:55:00+02:00,1,Airbus A320,Brussels,EBBR,BRU
7,EDDB,SN 2589,Unknown,Brussels,2022-06-16 20:00:00+02:00,1,Airbus A319,Brussels,EBBR,BRU
8,EDDB,LH 178,Unknown,Frankfurt-am-Main,2022-06-16 10:55:00+02:00,1,Airbus A320,Lufthansa,EDDF,FRA
9,EDDB,LH 182,Unknown,Frankfurt-am-Main,2022-06-16 12:55:00+02:00,1,Airbus A319,Lufthansa,EDDF,FRA
10,EDDB,LH 184,Unknown,Frankfurt-am-Main,2022-06-16 13:55:00+02:00,1,Airbus A320,Lufthansa,EDDF,FRA
11,EDDB,LH 188,Unknown,Frankfurt-am-Main,2022-06-16 15:55:00+02:00,1,Airbus A320,Lufthansa,EDDF,FRA
12,EDDB,LH 186,Unknown,Frankfurt-am-Main,2022-06-16 16:55:00+02:00,1,Airbus A319,Lufthansa,EDDF,FRA
13,EDDB,LH 192,Unknown,Frankfurt-am-Main,2022-06-16 17:55:00+02:00,1,Airbus A320,Lufthansa,EDDF,FRA
14,EDDB,LH 194,Unknown,Frankfurt-am-Main,2022-06-16 18:55:00+02:00,1,Airbus A320,Lufthansa,EDDF,FRA
15,EDDB,LH 200,Unknown,Frankfurt-am-Main,2022-06-16 20:55:00+02:00,1,Airbus A320,Lufthansa,EDDF,FRA
16,EDDB,U2 5512,Unknown,Cologne,2022-06-16 10:00:00+02:00,1,Airbus A319,easyJet,EDDK,CGN
17,EDDB,U2 5514,Unknown,Cologne,2022-06-16 20:40:00+02:00,1,Airbus A320,easyJet,EDDK,CGN
18,EDDB,EW 9044,Unknown,Duesseldorf,2022-06-16 20:05:00+02:00,1,Airbus A320 NEO,Eurowings,EDDL,DUS
19,EDDB,LH 1928,Unknown,Munich,2022-06-16 10:05:00+02:00,1,Airbus A320,Lufthansa,EDDM,MUC
20,EDDB,LH 1936,Unknown,Munich,2022-06-16 12:05:00+02:00,1,Airbus A320,Lufthansa,EDDM,MUC
21,EDDB,LH 1944,Unknown,Munich,2022-06-16 14:05:00+02:00,1,Airbus A320,Lufthansa,EDDM,MUC
22,EDDB,LH 1942,Unknown,Munich,2022-06-16 16:05:00+02:00,1,Bombardier CRJ900,Lufthansa,EDDM,MUC
23,EDDB,LH 1960,Unknown,Munich,2022-06-16 17:05:00+02:00,1,Airbus A319,Lufthansa,EDDM,MUC
24,EDDB,LH 1952,Unknown,Munich,2022-06-16 19:05:00+02:00,1,Airbus A319,Lufthansa,EDDM,MUC
25,EDDB,LH 1956,Unknown,Munich,2022-06-16 20:05:00+02:00,1,Airbus A320,Lufthansa,EDDM,MUC
26,EDDB,DX 125,Unknown,Saarbrücken,2022-06-16 19:00:00+02:00,0,ATR 42-300,Danish Air,EDDR,SCN
27,EDDB,EW 8007,Unknown,Stuttgart,2022-06-16 21:55:00+02:00,1,Airbus A319,Eurowings,EDDS,STR
28,EDDB,FR 2733,Unknown,Tallinn,2022-06-16 15:20:00+02:00,0,Boeing 737-800,Ryanair,EETN,TLL
29,EDDB,BT 821,Unknown,Tallinn,2022-06-16 15:50:00+02:00,1,Airbus A220-300,Air Baltic,EETN,TLL
30,EDDB,AY 1433,Unknown,Helsinki,2022-06-16 12:25:00+02:00,1,Airbus A320,Finnair,EFHK,HEL
31,EDDB,AY 1437,Unknown,Helsinki,2022-06-16 17:20:00+02:00,1,Airbus A319,Finnair,EFHK,HEL
32,EDDB,FR 1145,Unknown,Manchester,2022-06-16 17:25:00+02:00,0,Boeing 737-800,Ryanair,EGCC,MAN
33,EDDB,U2 6237,Unknown,Bristol,2022-06-16 16:00:00+02:00,1,Airbus A319,easyJet,EGGD,BRS
